"Number","Name","AssetId","TechnologyId","Category","TypeA","TypeB","Rank","Rarity","Price","Weight","StackSize","Description","ImageUrl","LocalIcon","PaldeckUrl","CommandGive","CommandGiveMe"
,"Thermal Undershirt +2","Accessory_CoolResist_3","Accessory_CoolResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Cold Resistance.",,,"https://paldeck.cc/items/Accessory_CoolResist_3","!give Accessory_CoolResist_3:9999","!giveme Accessory_CoolResist_3:9999"
,"Ring of Dark Resistance","Accessory_DarkResist_1","Accessory_DarkResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","16680","2","1","An accessory that reduces incoming Dark damage.",,,"https://paldeck.cc/items/Accessory_DarkResist_1","!give Accessory_DarkResist_1:9999","!giveme Accessory_DarkResist_1:9999"
,"Ring of Dark Resistance +1","Accessory_DarkResist_2","Accessory_DarkResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Dark damage.",,,"https://paldeck.cc/items/Accessory_DarkResist_2","!give Accessory_DarkResist_2:9999","!giveme Accessory_DarkResist_2:9999"
,"Ring of Dark Resistance +2","Accessory_DarkResist_3","Accessory_DarkResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Dark damage.",,,"https://paldeck.cc/items/Accessory_DarkResist_3","!give Accessory_DarkResist_3:9999","!giveme Accessory_DarkResist_3:9999"
,"Defense Pendant","Accessory_defense_1","Accessory_defense_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","15540","2","1","An accessory that raises Defense.",,,"https://paldeck.cc/items/Accessory_defense_1","!give Accessory_defense_1:9999","!giveme Accessory_defense_1:9999"
,"Defense Pendant +1","Accessory_defense_2","Accessory_defense_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Defense.",,,"https://paldeck.cc/items/Accessory_defense_2","!give Accessory_defense_2:9999","!giveme Accessory_defense_2:9999"
,"Defense Pendant +2","Accessory_defense_3","Accessory_defense_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Defense.",,,"https://paldeck.cc/items/Accessory_defense_3","!give Accessory_defense_3:9999","!giveme Accessory_defense_3:9999"
,"Warsect Terra's Belt","Accessory_DFHP_1","Accessory_DFHP_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","80700","2","1","An accessory that greatly raises Defense and Health.",,,"https://paldeck.cc/items/Accessory_DFHP_1","!give Accessory_DFHP_1:9999","!giveme Accessory_DFHP_1:9999"
,"Ring of Dragon Resistance","Accessory_DragonResist_1","Accessory_DragonResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","25080","2","1","An accessory that reduces incoming Dragon damage.",,,"https://paldeck.cc/items/Accessory_DragonResist_1","!give Accessory_DragonResist_1:9999","!giveme Accessory_DragonResist_1:9999"
,"Ring of Dragon Resistance +1","Accessory_DragonResist_2","Accessory_DragonResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Dragon damage.",,,"https://paldeck.cc/items/Accessory_DragonResist_2","!give Accessory_DragonResist_2:9999","!giveme Accessory_DragonResist_2:9999"
,"Ring of Dragon Resistance +2","Accessory_DragonResist_3","Accessory_DragonResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Dragon damage.",,,"https://paldeck.cc/items/Accessory_DragonResist_3","!give Accessory_DragonResist_3:9999","!giveme Accessory_DragonResist_3:9999"
,"Ring of Ground Resistance","Accessory_EarthResist_1","Accessory_EarthResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","25080","2","1","An accessory that reduces incoming Ground damage.",,,"https://paldeck.cc/items/Accessory_EarthResist_1","!give Accessory_EarthResist_1:9999","!giveme Accessory_EarthResist_1:9999"
,"Ring of Ground Resistance +1","Accessory_EarthResist_2","Accessory_EarthResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Ground damage.",,,"https://paldeck.cc/items/Accessory_EarthResist_2","!give Accessory_EarthResist_2:9999","!giveme Accessory_EarthResist_2:9999"
,"Ring of Ground Resistance +2","Accessory_EarthResist_3","Accessory_EarthResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Ground damage.",,,"https://paldeck.cc/items/Accessory_EarthResist_3","!give Accessory_EarthResist_3:9999","!giveme Accessory_EarthResist_3:9999"
,"Explosion-Resistant Undershirt","Accessory_ExplosionResist","Accessory_ExplosionResist","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","10","4","120000","2","1","A lightweight yet durable undergarment made from special fibers. It nullifies damage from explosions.",,,"https://paldeck.cc/items/Accessory_ExplosionResist","!give Accessory_ExplosionResist:9999","!giveme Accessory_ExplosionResist:9999"
,"Ring of Fire Resistance","Accessory_FireResist_1","Accessory_FireResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","18480","2","1","An accessory that reduces incoming Fire damage.",,,"https://paldeck.cc/items/Accessory_FireResist_1","!give Accessory_FireResist_1:9999","!giveme Accessory_FireResist_1:9999"
,"Ring of Fire Resistance +1","Accessory_FireResist_2","Accessory_FireResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Fire damage.",,,"https://paldeck.cc/items/Accessory_FireResist_2","!give Accessory_FireResist_2:9999","!giveme Accessory_FireResist_2:9999"
,"Ring of Fire Resistance +2","Accessory_FireResist_3","Accessory_FireResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Fire damage.",,,"https://paldeck.cc/items/Accessory_FireResist_3","!give Accessory_FireResist_3:9999","!giveme Accessory_FireResist_3:9999"
,"Vanguard Charm","Accessory_HCHP_1","Accessory_HCHP_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","103680","2","1","An accessory that greatly raises Heat and Cold Resistance. It also significantly increases Health.",,,"https://paldeck.cc/items/Accessory_HCHP_1","!give Accessory_HCHP_1:9999","!giveme Accessory_HCHP_1:9999"
,"Wandering Merchant Charm","Accessory_HCMW_1","Accessory_HCMW_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","103680","2","1","An accessory that greatly raises Heat and Cold Resistance. It also significantly increases carrying capacity.",,,"https://paldeck.cc/items/Accessory_HCMW_1","!give Accessory_HCMW_1:9999","!giveme Accessory_HCMW_1:9999"
,"Multiclimate Undershirt","Accessory_HeatColdResist_1","Accessory_HeatColdResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","167040","2","1","An accessory that raises Heat and Cold Resistance.",,,"https://paldeck.cc/items/Accessory_HeatColdResist_1","!give Accessory_HeatColdResist_1:9999","!giveme Accessory_HeatColdResist_1:9999"
,"Multiclimate Undershirt +1","Accessory_HeatColdResist_2","Accessory_HeatColdResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Heat and Cold Resistance.",,,"https://paldeck.cc/items/Accessory_HeatColdResist_2","!give Accessory_HeatColdResist_2:9999","!giveme Accessory_HeatColdResist_2:9999"
,"Multiclimate Undershirt +2","Accessory_HeatColdResist_3","Accessory_HeatColdResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Heat and Cold Resistance.",,,"https://paldeck.cc/items/Accessory_HeatColdResist_3","!give Accessory_HeatColdResist_3:9999","!giveme Accessory_HeatColdResist_3:9999"
,"Reptyro Charm","Accessory_HeatFire_1","Accessory_HeatFire_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","86040","2","1","An accessory with incredible resistance to heat. Greatly reduces incoming Fire damage.",,,"https://paldeck.cc/items/Accessory_HeatFire_1","!give Accessory_HeatFire_1:9999","!giveme Accessory_HeatFire_1:9999"
,"Heat Resistant Undershirt","Accessory_HeatResist_1","Accessory_HeatResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","16540","2","1","An accessory that raises Heat Resistance.",,,"https://paldeck.cc/items/Accessory_HeatResist_1","!give Accessory_HeatResist_1:9999","!giveme Accessory_HeatResist_1:9999"
,"Heat Resistant Undershirt +1","Accessory_HeatResist_2","Accessory_HeatResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Heat Resistance.",,,"https://paldeck.cc/items/Accessory_HeatResist_2","!give Accessory_HeatResist_2:9999","!giveme Accessory_HeatResist_2:9999"
,"Heat Resistant Undershirt +2","Accessory_HeatResist_3","Accessory_HeatResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Heat Resistance.",,,"https://paldeck.cc/items/Accessory_HeatResist_3","!give Accessory_HeatResist_3:9999","!giveme Accessory_HeatResist_3:9999"
,"Life Pendant","Accessory_HP_1","Accessory_HP_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","16500","2","1","An accessory that raises Health.",,,"https://paldeck.cc/items/Accessory_HP_1","!give Accessory_HP_1:9999","!giveme Accessory_HP_1:9999"
,"Life Pendant +1","Accessory_HP_2","Accessory_HP_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Health.",,,"https://paldeck.cc/items/Accessory_HP_2","!give Accessory_HP_2:9999","!giveme Accessory_HP_2:9999"
,"Life Pendant +2","Accessory_HP_3","Accessory_HP_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises Health.",,,"https://paldeck.cc/items/Accessory_HP_3","!give Accessory_HP_3:9999","!giveme Accessory_HP_3:9999"
,"Ring of Ice Resistance","Accessory_IceResist_1","Accessory_IceResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","18480","2","1","An accessory that reduces incoming Ice damage.",,,"https://paldeck.cc/items/Accessory_IceResist_1","!give Accessory_IceResist_1:9999","!giveme Accessory_IceResist_1:9999"
,"Ring of Ice Resistance +1","Accessory_IceResist_2","Accessory_IceResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","8","2","1","2","1","An accessory that reduces incoming Ice damage.",,,"https://paldeck.cc/items/Accessory_IceResist_2","!give Accessory_IceResist_2:9999","!giveme Accessory_IceResist_2:9999"
,"Ring of Ice Resistance +2","Accessory_IceResist_3","Accessory_IceResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Ice damage.",,,"https://paldeck.cc/items/Accessory_IceResist_3","!give Accessory_IceResist_3:9999","!giveme Accessory_IceResist_3:9999"
,"Air Walker Mk I","Accessory_JumpAir_1","Accessory_JumpAir_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","133920","2","1","An accessory that allows the player to jump in mid-air when equipped. Also grants a mid-air dash.",,,"https://paldeck.cc/items/Accessory_JumpAir_1","!give Accessory_JumpAir_1:9999","!giveme Accessory_JumpAir_1:9999"
,"Air Walker Mk II","Accessory_JumpAir_2","Accessory_JumpAir_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","210360","2","1","An accessory that allows the player to jump in mid-air when equipped. Also grants a double mid-air dash.",,,"https://paldeck.cc/items/Accessory_JumpAir_2","!give Accessory_JumpAir_2:9999","!giveme Accessory_JumpAir_2:9999"
,"Double Jump Boots","Accessory_JumpCount_Increase1","Accessory_JumpCount_Increase1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","54120","2","1","An accessory that allows the player to jump in mid-air when equipped.",,,"https://paldeck.cc/items/Accessory_JumpCount_Increase1","!give Accessory_JumpCount_Increase1:9999","!giveme Accessory_JumpCount_Increase1:9999"
,"Triple Jump Boots","Accessory_JumpCount_Increase2","Accessory_JumpCount_Increase2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","10","3","210600","2","1","An accessory that allows the player to perform double jumps in mid-air when equipped.",,,"https://paldeck.cc/items/Accessory_JumpCount_Increase2","!give Accessory_JumpCount_Increase2:9999","!giveme Accessory_JumpCount_Increase2:9999"
,"Quadruple Jump Boots","Accessory_JumpCount_Increase3","Accessory_JumpCount_Increase3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","10","4","500000","2","1","An accessory that allows the player to perform triple jumps in mid-air when equipped.",,,"https://paldeck.cc/items/Accessory_JumpCount_Increase3","!give Accessory_JumpCount_Increase3:9999","!giveme Accessory_JumpCount_Increase3:9999"
,"Anti-Gravity Belt","Accessory_JumpPower_Increase","Accessory_JumpPower_Increase","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","1","23160","2","1","An accessory that increases the player's jump power when equipped.",,,"https://paldeck.cc/items/Accessory_JumpPower_Increase","!give Accessory_JumpPower_Increase:9999","!giveme Accessory_JumpPower_Increase:9999"
,"Ring of Grass Resistance","Accessory_LeafResist_1","Accessory_LeafResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","16080","2","1","An accessory that reduces incoming Grass damage.",,,"https://paldeck.cc/items/Accessory_LeafResist_1","!give Accessory_LeafResist_1:9999","!giveme Accessory_LeafResist_1:9999"
,"Ring of Grass Resistance +1","Accessory_LeafResist_2","Accessory_LeafResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that reduces incoming Grass damage.",,,"https://paldeck.cc/items/Accessory_LeafResist_2","!give Accessory_LeafResist_2:9999","!giveme Accessory_LeafResist_2:9999"
,"Ring of Grass Resistance +2","Accessory_LeafResist_3","Accessory_LeafResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","8","2","1","2","1","An accessory that reduces incoming Grass damage.",,,"https://paldeck.cc/items/Accessory_LeafResist_3","!give Accessory_LeafResist_3:9999","!giveme Accessory_LeafResist_3:9999"
,"Ring of Freight","Accessory_MaxWeightUp_01","Accessory_MaxWeightUp_01","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","20400","2","1","An accessory that raises carrying capacity.",,,"https://paldeck.cc/items/Accessory_MaxWeightUp_01","!give Accessory_MaxWeightUp_01:9999","!giveme Accessory_MaxWeightUp_01:9999"
,"Ring of Freight +1","Accessory_MaxWeightUp_02","Accessory_MaxWeightUp_02","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises carrying capacity.",,,"https://paldeck.cc/items/Accessory_MaxWeightUp_02","!give Accessory_MaxWeightUp_02:9999","!giveme Accessory_MaxWeightUp_02:9999"
,"Ring of Freight +2","Accessory_MaxWeightUp_03","Accessory_MaxWeightUp_03","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","An accessory that raises carrying capacity.",,,"https://paldeck.cc/items/Accessory_MaxWeightUp_03","!give Accessory_MaxWeightUp_03:9999","!giveme Accessory_MaxWeightUp_03:9999"
,"Pal Tamer's Glasses","Accessory_NonkChecker_1","Accessory_NonkChecker_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","46200","2","1","Eyewear for Pal Tamers. The wearer's attacks will not reduce the target's Health below 1. Reveals hidden Pal potentials.",,,"https://paldeck.cc/items/Accessory_NonkChecker_1","!give Accessory_NonkChecker_1:9999","!giveme Accessory_NonkChecker_1:9999"
,"Ring of Mercy","Accessory_Nonkilling","Accessory_Nonkilling","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","16320","2","1","Pacifist's ring. The wearer's attacks will not reduce the target's Health below 1.",,,"https://paldeck.cc/items/Accessory_Nonkilling","!give Accessory_Nonkilling:9999","!giveme Accessory_Nonkilling:9999"
,"Ring of Neutral Resistance","Accessory_NormalResist_1","Accessory_NormalResist_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","14700","2","1","Accessory that lowers Neutral damage.",,,"https://paldeck.cc/items/Accessory_NormalResist_1","!give Accessory_NormalResist_1:9999","!giveme Accessory_NormalResist_1:9999"
,"Ring of Neutral Resistance +1","Accessory_NormalResist_2","Accessory_NormalResist_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","Accessory that lowers Neutral damage.",,,"https://paldeck.cc/items/Accessory_NormalResist_2","!give Accessory_NormalResist_2:9999","!giveme Accessory_NormalResist_2:9999"
,"Ring of Neutral Resistance +2","Accessory_NormalResist_3","Accessory_NormalResist_3","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","2","2","1","2","1","Accessory that lowers Neutral damage.",,,"https://paldeck.cc/items/Accessory_NormalResist_3","!give Accessory_NormalResist_3:9999","!giveme Accessory_NormalResist_3:9999"
,"Elphidran Ring","Accessory_Otomo_Dargon_1","Accessory_Otomo_Dargon_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","35280","2","1","An accessory that greatly reduces incoming Dark damage of the Pal fighting alongside you. It also significantly increases the Dragon damage of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_Otomo_Dargon_1","!give Accessory_Otomo_Dargon_1:9999","!giveme Accessory_Otomo_Dargon_1:9999"
,"Katress Ring","Accessory_Otomo_Dark_1","Accessory_Otomo_Dark_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","34080","2","1","An accessory that greatly reduces incoming Neutral damage of the Pal fighting alongside you. It also significantly increases the Dark damage of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_Otomo_Dark_1","!give Accessory_Otomo_Dark_1:9999","!giveme Accessory_Otomo_Dark_1:9999"
,"Menasting Terra Ring","Accessory_Otomo_Earth_1","Accessory_Otomo_Earth_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","41280","2","1","An accessory that greatly reduces incoming Electric damage of the Pal fighting alongside you. It also significantly increases the Ground damage of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_Otomo_Earth_1","!give Accessory_Otomo_Earth_1:9999","!giveme Accessory_Otomo_Earth_1:9999"
,"Fenglope Lux Ring","Accessory_Otomo_Electricity_1","Accessory_Otomo_Electricity_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","38280","2","1","An accessory that greatly reduces incoming Water damage of the Pal fighting alongside you. It also significantly increases the Electric damage of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_Otomo_Electricity_1","!give Accessory_Otomo_Electricity_1:9999","!giveme Accessory_Otomo_Electricity_1:9999"
,"Blazehowl Ring","Accessory_Otomo_Fire_1","Accessory_Otomo_Fire_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","31200","2","1","An accessory that greatly reduces incoming Grass damage of the Pal fighting alongside you. It also significantly increases the Fire damage of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_Otomo_Fire_1","!give Accessory_Otomo_Fire_1:9999","!giveme Accessory_Otomo_Fire_1:9999"
,"Faleris Ring","Accessory_Otomo_Fire_2","Accessory_Otomo_Fire_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","34080","2","1","An accessory that greatly reduces incoming Ice damage of the Pal fighting alongside you. It also significantly increases the Fire damage of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_Otomo_Fire_2","!give Accessory_Otomo_Fire_2:9999","!giveme Accessory_Otomo_Fire_2:9999"
,"Cryolinx Ring","Accessory_Otomo_Ice_1","Accessory_Otomo_Ice_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","40680","2","1","An accessory that greatly reduces incoming Dragon damage of the Pal fighting alongside you. It also significantly increases the Ice damage of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_Otomo_Ice_1","!give Accessory_Otomo_Ice_1:9999","!giveme Accessory_Otomo_Ice_1:9999"
,"Vaelet Ring","Accessory_Otomo_Leaf_1","Accessory_Otomo_Leaf_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","24480","2","1","An accessory that greatly reduces incoming Ground damage of the Pal fighting alongside you. It also significantly increases the Grass damage of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_Otomo_Leaf_1","!give Accessory_Otomo_Leaf_1:9999","!giveme Accessory_Otomo_Leaf_1:9999"
,"Faleris Aqua Ring","Accessory_Otomo_Water_1","Accessory_Otomo_Water_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","36600","2","1","An accessory that greatly reduces incoming Fire damage of the Pal fighting alongside you. It also significantly increases the Water damage of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_Otomo_Water_1","!give Accessory_Otomo_Water_1:9999","!giveme Accessory_Otomo_Water_1:9999"
,"Dogen Emblem","Accessory_PPAT_1","Accessory_PPAT_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","70620","2","1","An accessory that greatly raises your Attack, and that of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_PPAT_1","!give Accessory_PPAT_1:9999","!giveme Accessory_PPAT_1:9999"
,"Silvegis Emblem","Accessory_PPDF_1","Accessory_PPDF_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","81420","2","1","An accessory that greatly raises your Defense, and that of the Pal fighting alongside you.",,,"https://paldeck.cc/items/Accessory_PPDF_1","!give Accessory_PPDF_1:9999","!giveme Accessory_PPDF_1:9999"
,"Air Walker Mk III","Accessory_SuperJumpAir_1","Accessory_SuperJumpAir_1","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","272400","2","1","An accessory that allows the player to perform double jumps in mid-air when equipped. Also grants a mid-air dash.",,,"https://paldeck.cc/items/Accessory_SuperJumpAir_1","!give Accessory_SuperJumpAir_1:9999","!giveme Accessory_SuperJumpAir_1:9999"
,"Air Walker EX","Accessory_SuperJumpAir_2","Accessory_SuperJumpAir_2","Accessories","EPalItemTypeA::Accessory","EPalItemTypeB::Accessory","3","3","406440","2","1","An accessory that allows the player to perform double jumps in mid-air when equipped. Also grants a double mid-air dash.",,,"https://paldeck.cc/items/Accessory_SuperJumpAir_2","!give Accessory_SuperJumpAir_2:9999","!giveme Accessory_SuperJumpAir_2:9999"
